"water_point_id","inconsistency_reasons","functional_status","current_problem","has_quality_issues","has_service_provider"
"31941613","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"358063629","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"14935365","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356167961","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"371784402","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"354130693","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356167978","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"574716","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356167370","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"39569013","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"354130727","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"371784598","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"371784615","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"371784653","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"371784646","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"370486208","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"33977241","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"376321792","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"371784835","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"371784842","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"25204274","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"355107889","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"37567820","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"354487601","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"37343369","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356189369","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"6981718","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"371784873","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"16905287","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"24668422","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"24668453","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"24668439","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"88385183","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"38695641","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"42063115","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"32046643","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"355070338","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"24668329","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"13630793","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"37343266","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"376098964","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"354816469","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"23819928","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"33621636","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"14667455","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"23892855","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"39318169","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"25389508","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356167710","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356168034","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"376099044","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"376108445","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"355108110","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"22592381","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"354130954","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"39317656","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"12597956","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"8859848","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"356167796","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"5459238","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"45158061","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"9397417","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"128167849","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"43014820","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"382605086","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"1095023","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"376099130","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"18297616","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"376321912","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"354131041","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"14358443","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"24286848","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"12226658","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"619509","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"1076082","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"25205495","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"43360239","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"391130650","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"18853715","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"355108835","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"28623557","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"28623564","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"591676","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356168498","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356190099","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"13278106","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"394047238","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"33779326","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"619451","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"355108969","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"22593210","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"13823283","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"36703582","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"33779326","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"391130739","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"7528774","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"33188238","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356168591","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"22105303","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"12648247","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"44633705","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"395264418","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"4248886","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"376117063","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"9750098","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"33889357","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"6761505","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"18841170","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"395648056","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"44633712","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"13042880","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"395648111","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356190264","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"356169035","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"12769829","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"355074325","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356190305","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"13114080","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"331979013","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"12769654","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"331979037","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"12739725","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"33004778","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"386103818","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"5669341","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"33004754","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"32246728","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"355109276","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"395648252","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"386103887","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"32046409","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"681957","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"40489706","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"395648245","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"395648276","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"331979271","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"400957324","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356170040","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"35641041","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"35641065","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"355074552","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"355109616","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"397582590","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"12804849","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356169475","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"397582741","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"15300197","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"401774069","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"44747486","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"44747424","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"382607813","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"43016554","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"382607851","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"406117957","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"400957472","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"14806094","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"370487292","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"12805534","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"376117795","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356169729","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"36564091","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356171261","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"53648349","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"356169750","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"23139086","Abandoned water point has operational data","ABANDONED","NA","NA","Unknown"
"376117829","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"376117087","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"23733552","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"408860783","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"77866345","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"377466490","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"42361789","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"42555816","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"42369220","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"406118367","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"382608144","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"37234676","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"23107935","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"21901302","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"14724464","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"18920817","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"34599363","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"14724426","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"37768140","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"42683887","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"18671474","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"409002199","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"25179897","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"408979799","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"128169315","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"29942471","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"14929472","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"14724495","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"14726617","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"36523267","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"18873403","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"42369134","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"21750362","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"404050678","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"410181119","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"38792122","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"8724928","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"390722645","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"14380958","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"409003482","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"14724471","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"9892235","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"37814481","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"30351453","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"25565915","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"38245668","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"30494756","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"34591066","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"36521650","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"26618467","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"410181133","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"36525207","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"28845432","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"30352186","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"408447526","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"408447540","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"408860941","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"36543508","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"23107698","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"36487387","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"409004287","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"406118563","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"36543223","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"409093519","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"18873056","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"410128963","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"389108311","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"412560826","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"389108328","Abandoned water point has operational data","ABANDONED","NA","NA","Unknown"
"16946736","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"36543508","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"409004328","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"408861083","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"406118604","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"406118611","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"39348490","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"42076012","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"15368441","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"38792139","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"409093722","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"378302203","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"12597956","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"22333339","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"53648442","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"354487151","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"408861179","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"27628939","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"419819888","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"419819912","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"412561511","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"412561535","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"23124620","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"4310725","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"28418494","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"419819936","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"12955374","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"21491166","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"419819967","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"42076634","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"93859080","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"25139181","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"409094039","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"410129067","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"406118886","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"409720288","Abandoned water point has operational data","ABANDONED","NA","NA","Unknown"
"408861337","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"384067826","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"406118941","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"386635407","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"21486171","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"38801592","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"410129256","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"58917152","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"18727492","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"36509070","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"12598160","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"408861382","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"384028427","Abandoned water point has operational data","ABANDONED","NA","NA","Unknown"
"387820660","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"387759052","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"32398845","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"51147073","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"410129256","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"98989003","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"46617099","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"36487095","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"12611122","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"18119516","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"12947991","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"406118996","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"13706430","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"46793111","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"426409625","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"392700122","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"58367458","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"23139787","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"426409591","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"431271079","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"406119090","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"22593447","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"35804592","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"434053744","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"5431212","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"31704502","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"30039575","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"29703306","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"35971137","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"44244756","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"8859776","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"22606952","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"14219089","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"408447636","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"23128095","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"36579464","Abandoned water point has operational data","ABANDONED","NA","NA","Yes"
"16652352","Abandoned water point has operational data","ABANDONED","NA","NA","No"
"39132408","Abandoned water point has operational data","ABANDONED","NA","NA","No"
