"latitude","quality_issues_other","has_quality_issues","water_point_photo","quality_issues_type","has_service_provider","current_problem","unavailable_period","has_water_committee","service_provider_type","households_count","submitted_date","problem_other_details","has_seasonal_variation","water_point_id","functional_status","longitude"
"-15.069837299999998","NA","Yes","https://api.mwater.co/v3/images/05ab4194bc374ee89dad20fe6ee9b2f1","Salinity or salty water","Yes","Broken parts","NA","Yes","Water Point Committee, Institution","760","23/06/2022","NA","No","25335901","PARTIAL","34.890517599999995"
"-15.1052153","NA","No","https://api.mwater.co/v3/images/047008f3b0314e9899c03cf7b1996926","NA","Yes","Broken parts, Structural problems - Civil works, apron, etc, Worn out parts","09, 10, 11","Yes","Institution","1500","27/06/2022","NA","Yes","5425817","PARTIAL","35.1353077"
"-15.103665700000004","NA","No","https://api.mwater.co/v3/images/dec0810b00264f69aa2843bc5c08fb5c","NA","Yes","Inadequate number of pipes, Broken parts","NA","Yes","Community members, Water Point Committee","850","05/07/2022","NA","No","25202715","PARTIAL","35.1394827"
"-15.103886500000002","NA","No","https://api.mwater.co/v3/images/033a528d57c44663a47fe643ca52bacc","NA","Yes","Inadequate number of pipes, Broken parts","NA","Yes","Institution","1020","06/07/2022","NA","No","386103629","PARTIAL","35.1374043"
"-14.82096","NA","No","https://api.mwater.co/v3/images/bcd775fd1f9940f18fb0d88a571a25b5","NA","Yes","NA","NA","Yes","Institution, Water Point Committee","1400","11/07/2022","NA","No","386103698","FUNC","34.998606699999996"
"-14.875752800000004","NA","No","https://api.mwater.co/v3/images/4f2b2edf60984f12a3140651beb8af46","NA","Yes","Structural problems - Civil works, apron, etc","NA","Yes","Institution","830","12/07/2022","NA","No","25236435","PARTIAL","34.957937699999995"
"-15.003095","NA","Yes","https://api.mwater.co/v3/images/0898a02dfdb5485da1f0dce03567d065","Salinity or salty water","Yes","Low water flow - Low water pressure, Low yield, Inadequate number of pipes, Worn out parts","08, 09, 10, 11","Yes","Water Point Committee, Institution","1520","19/07/2022","NA","Yes","31866420","PARTIAL","35.1881584"
"-14.998174999999993","NA","Yes","https://api.mwater.co/v3/images/b47e40d599194e25aa3c38eabb3a3bef","Salinity or salty water","Yes","Broken parts, Inadequate number of pipes, Structural problems - Civil works, apron, etc","NA","Yes","Community members, Institution, Water Point Committee","890","22/07/2022","NA","No","386103911","PARTIAL","35.21881"
"-14.997435800000002","NA","No","https://api.mwater.co/v3/images/c01d6d4437864e6f943647a4e6c31a77","NA","Yes","Broken parts","NA","Yes","Institution, Community members, Water Point Committee","890","25/07/2022","NA","No","386103904","PARTIAL","35.2191188"
"-14.715843300000001","NA","No","https://api.mwater.co/v3/images/3a502e9eb29e403b80709ae44d4630a5","NA","Yes","NA","NA","Yes","Area or Water Mechanic","650","25/07/2022","NA","No","31838799","FUNC","35.5025533"
"-15.052132609999997","NA","Yes","https://api.mwater.co/v3/images/280c57bd50fd45249872b74d5228044a","Sediment presence","Yes","Other (please specify)","NA","No","Institution","3092","25/07/2022","The pump is producing mud","Unknown","128168682","PARTIAL","35.2079744"
"-15.051761690000003","NA","No","https://api.mwater.co/v3/images/f21030a6e65349a3b375523b96109868","NA","Yes","Broken parts, Low water flow - Low water pressure, Low yield, Worn out parts, Inadequate number of pipes","09, 08, 10, 11","No","Institution","3092","25/07/2022","NA","Yes","42062767","PARTIAL","35.208142"
"-14.90431993","NA","Yes","https://api.mwater.co/v3/images/bd8796f0581f4f00a49c793bee6c4305","Salinity or salty water","Yes","Broken parts, Inadequate number of pipes, Low yield, Irregular supply, Low water flow - Low water pressure, Worn out parts","08, 09, 10, 11","Yes","Water Point Committee, Area or Water Mechanic","800","04/08/2022","NA","Yes","18616659","PARTIAL","35.26899328999999"
"-14.9078705","NA","No","https://api.mwater.co/v3/images/5e0474abcb4e4d96af7f36567299e8cf","NA","Yes","Inadequate number of pipes, Worn out parts, Other (please specify)","NA","No","Area or Water Mechanic, Unofficial/ Bush Mechanic","1532","09/08/2022","It is very difficult to fish out rods and the head is not in good condition","No","25238042","PARTIAL","34.9435452"
"-14.8649952","NA","No","https://api.mwater.co/v3/images/49c9bc5189724f4d8629f43d16c70b6a","NA","Yes","Low yield, Worn out parts, Structural problems - Civil works, apron, etc, Broken parts","11, 10","Yes","Institution","1700","11/08/2022","NA","Yes","407068920","PARTIAL","35.1756009"
"-14.84456316","NA","No","https://api.mwater.co/v3/images/410969f86ed34571b098099733a48373","NA","Yes","Broken parts, Low yield, Structural problems - Civil works, apron, etc, Worn out parts","NA","Yes","Institution, Community members","2000","16/08/2022","NA","Unknown","409092288","PARTIAL","35.1706573"
"-14.840093910000002","NA","Yes","https://api.mwater.co/v3/images/e84275e99f3847a68480315dca4bb849","Salinity or salty water","Yes","Broken parts, Low yield, Low water flow - Low water pressure, Structural problems - Civil works, apron, etc","NA","Yes","Institution","730","17/08/2022","NA","No","409092329","PARTIAL","35.166021889999996"
"-13.666822800000002","NA","Yes","https://api.mwater.co/v3/images/1530d78051954389ad97d3a4928f712c","Salinity or salty water","Yes","Broken parts","NA","Yes","Unofficial/ Bush Mechanic","523","22/08/2022","NA","No","21901405","PARTIAL","34.8480426"
"-14.755382309999996","NA","No","https://api.mwater.co/v3/images/5977c9a20259464da8709ba9c6ec0462","NA","Yes","Broken parts","NA","Yes","Institution","700","29/08/2022","NA","No","25207002","PARTIAL","35.17066844"
"-14.637265269999999","NA","No","https://api.mwater.co/v3/images/4f774fd2082a4c059a918e0ff545f741","NA","Yes","NA","NA","Yes","Institution","1000","12/09/2022","NA","No","409093540","FUNC","35.18051415"
"-14.5343233","NA","No","https://api.mwater.co/v3/images/160f4a5182bc41259a481f6be5018744","NA","Yes","NA","NA","Yes","Institution","0","15/09/2022","NA","Unknown","412561140","FUNC","35.2038953"
"-14.529515","NA","No","https://api.mwater.co/v3/images/9dc39cd1909b47a5b7d52b961144a442","NA","Yes","NA","NA","Yes","Institution, Area or Water Mechanic","0","16/09/2022","NA","No","412561250","FUNC","35.201686699999996"
"-14.100097","NA","No","https://api.mwater.co/v3/images/84b15823f2404254a4264b9ca2d84c78","NA","Yes","Low yield, Worn out parts","NA","Yes","Unofficial/ Bush Mechanic","703","19/09/2022","NA","No","18130449","PARTIAL","35.191228599999995"
"-14.729896809999998","NA","No","https://api.mwater.co/v3/images/847187b074ad4bc5b14deafba03dfc80","NA","Yes","NA","NA","Yes","Unofficial/ Bush Mechanic, Water Point Committee","700","07/10/2022","NA","No","410267190","FUNC","34.919003509999996"
"-14.6866598","NA","No","https://api.mwater.co/v3/images/726b0420ad984a0289dd41b6ffb92601","NA","Yes","Worn out parts","NA","Yes","Area or Water Mechanic","540","26/10/2022","NA","No","38794258","PARTIAL","35.50093759999999"
"-14.489363300000003","NA","Yes","https://api.mwater.co/v3/images/ab8d9f95c7ab45ec8a46b51ba0a778fb","Salinity or salty water","Yes","NA","NA","No","Institution","0","07/11/2022","NA","No","29097106","FUNC","35.2457533"
"-14.082944299999998","NA","Yes","https://api.mwater.co/v3/images/a04410e54f7a4bd59c53beece7e519ff","Salinity or salty water","Yes","Structural problems - Civil works, apron, etc, Worn out parts","NA","No","Area or Water Mechanic","600","08/11/2022","NA","No","72381708","PARTIAL","34.9058129"
"-14.084403500000002","NA","Yes","https://api.mwater.co/v3/images/120b6eefc29f43b897c997c2bc5f6698","Salinity or salty water","Yes","Worn out parts, Structural problems - Civil works, apron, etc","NA","No","Area or Water Mechanic","800","08/11/2022","NA","No","72381722","PARTIAL","34.9058877"
"-14.211092819999996","NA","Yes","https://api.mwater.co/v3/images/29b6e71f5bb54555a55cb18cd2a802f2","Sediment presence","Yes","Worn out parts","NA","No","Area or Water Mechanic, Water Point Committee","0","10/11/2022","NA","No","5543290","PARTIAL","35.05749276"
"-14.135404899999996","NA","No","https://api.mwater.co/v3/images/9807a5b776c541eea81cf0e2d54ec2c6","NA","Yes","Worn out parts, Structural problems - Civil works, apron, etc","NA","Yes","Water Point Committee, Area or Water Mechanic","765","11/11/2022","NA","No","34703250","PARTIAL","34.8480386"
"-14.488995000000001","NA","Yes","https://api.mwater.co/v3/images/56e74ffa8e0b430f9e75ccb052cb8a0d","Salinity or salty water","Yes","NA","NA","No","Institution","0","14/11/2022","NA","No","439423771","FUNC","35.246046699999994"
"-14.150526569999997","NA","No","https://api.mwater.co/v3/images/4633be8f60b84182a8abad4ef9a4bb05","NA","Yes","Worn out parts, Broken parts","NA","Yes","Unofficial/ Bush Mechanic, Water Point Committee, Institution","2100","16/11/2022","NA","No","11857516","PARTIAL","34.82907233"
"-14.4823845","NA","No","https://api.mwater.co/v3/images/d707c4f4921b437f8cd08fb4a166a1a7","NA","Yes","NA","NA","Yes","Institution","0","16/11/2022","NA","No","30157886","FUNC","35.26499669999999"
"-14.025285","NA","No","https://api.mwater.co/v3/images/1d60f9491a6c47928bef6f0b5572ef08","NA","Yes","Worn out parts, Structural problems - Civil works, apron, etc, Broken parts","NA","Yes","Area or Water Mechanic","2310","18/11/2022","NA","No","43434950","PARTIAL","34.8475142"
"-14.025655299999999","Color and sediments presence ","Yes","https://api.mwater.co/v3/images/5087e2e1e36e4f609cb790c22233a185","Other (please specify)","Yes","Broken parts, Worn out parts, Structural problems - Civil works, apron, etc, Low water flow - Low water pressure","NA","Yes","Area or Water Mechanic","2310","18/11/2022","NA","No","43434998","PARTIAL","34.8465094"
"-14.214223699999991","NA","No","https://api.mwater.co/v3/images/705be30b9da646b5b14cbd1bea2a6cf6","NA","Yes","Broken parts, Structural problems - Civil works, apron, etc, Worn out parts, Other (please specify)","NA","Yes","Water Point Committee","1300","23/11/2022","Inadequate number of bolts and nuts. Corrosion ","No","36507047","PARTIAL","34.8873822"
"-14.168069600000003","NA","No","https://api.mwater.co/v3/images/2fce79aa74a74d3eb828982c442e78b6","NA","Yes","Worn out parts, Broken parts","NA","Yes","Water Point Committee, Community members, Area or Water Mechanic","532","24/11/2022","NA","No","33826864","PARTIAL","34.9509416"
"NA","NA","No","https://api.mwater.co/v3/images/299fc556a0e34aeeabed2c064a458c09","NA","Yes","Broken parts, Worn out parts","10, 11","No","Area or Water Mechanic","700","07/12/2022","NA","Yes","356169822","PARTIAL","NA"
