"water_point_id","quality_issues_other","has_quality_issues","water_point_photo","latitude","current_problem","unavailable_period","has_water_committee","service_provider_type","households_count","submitted_date","problem_other_details","has_seasonal_variation","longitude","functional_status","quality_issues_type","has_service_provider"
"351778852","","No","https://api.mwater.co/v3/images/a62b2fc8e8cc4725ba20ed1b369f3478","-14.524238500000001","Worn out parts","","Yes ","Area or Water Mechanic, Water Point Committee","17","2022-04-06 10:42:59","","No","35.2101193","Partially functional but in need of repair","","Yes"
"356171412","","No","https://api.mwater.co/v3/images/22a860111eea46c388afe28b218263e7","-14.516357000000001","Broken parts, Structural problems - Civil works, apron, etc, Worn out parts","","","Area or Water Mechanic, Unofficial/ Bush Mechanic","13","2022-04-06 10:53:17","","No","35.1971227","Partially functional but in need of repair","","Yes"
"24774624","","No","https://api.mwater.co/v3/images/2e05c86faf0747d3a77f60cc1426e779","-14.522808099999997","Broken parts","","","Area or Water Mechanic","20","2022-04-06 11:13:43","","No","35.2009391","Partially functional but in need of repair","","Yes"
"355641635","","","https://api.mwater.co/v3/images/7123fed097364ab883162799b666067d","","","","","","","2022-04-06 11:48:54","","","","No longer exists or abandoned","","No"
"356171412","","No","https://api.mwater.co/v3/images/29e24c60b3d145f097adb73bd1426c86","-14.516275000000004","Broken parts, Structural problems - Civil works, apron, etc, Worn out parts","","","Area or Water Mechanic, Unofficial/ Bush Mechanic","13","2022-04-06 11:51:29","","No","35.19716059999999","Partially functional but in need of repair","","Yes"
"351778869","","Yes","https://api.mwater.co/v3/images/7415bc69cc3a4c39833f12399b1336c4","-14.526264600000001","","","","Area or Water Mechanic","1","2022-04-06 12:10:39","","No","35.2115343","Functional","Taste ","Yes"
"356171450","","No","https://api.mwater.co/v3/images/c89f3ab3a34e429685a291bd5329d361","-14.515113299999992","Worn out parts","","","Area or Water Mechanic","11","2022-04-06 12:11:50","","No","35.1955449","Partially functional but in need of repair","","Yes"
"356187116","","No","https://api.mwater.co/v3/images/bd07e9b6c1f541079fb6d63da3412d79","-14.5226381","Broken parts","","","Area or Water Mechanic","7","2022-04-06 12:13:25","","No","35.2026039","Partially functional but in need of repair","","Yes"
"36490710","","No","https://api.mwater.co/v3/images/f5a83e81da04455c958a41ea83dff637","-14.526123799999999","","","Yes ","Area or Water Mechanic, Water Point Committee","75","2022-04-06 12:23:35","","No","35.2128346","Functional","","Yes"
"354810999","","No","https://api.mwater.co/v3/images/58be84ce7dba471c9a6078ea81b084aa","-14.516211299999998","","","","Owner / Private household","8","2022-04-06 12:36:44","","No","35.19879689999999","Functional","","Yes"
"354810944","","No","https://api.mwater.co/v3/images/78821bd5b7264c6d88e444b56c2e78f4","-14.515721699999999","Low yield","","","Area or Water Mechanic","20","2022-04-06 12:53:52","","No","35.19848","Partially functional but in need of repair","","Yes"
"354810975","","No","https://api.mwater.co/v3/images/d7d7824090564a57aad383b67a37fe16","-14.515479999999997","Broken parts","","","Area or Water Mechanic","21","2022-04-06 13:07:17","","No","35.19912500000001","Partially functional but in need of repair","","Yes"
"36496321","","No","https://api.mwater.co/v3/images/92dd4aa4d9524c788d348777f61f0e8f","-14.527505199999998","","","Yes ","Area or Water Mechanic, Water Point Committee","55","2022-04-06 13:10:56","","No","35.21424209999999","Functional","","Yes"
"354811024","","No","https://api.mwater.co/v3/images/b45a9c2f681d40fb8b875d7f0625cf29","-14.515414199999995","","","","Area or Water Mechanic","20","2022-04-06 13:14:19","","No","35.19782029999999","Functional","","Yes"
"361132060","","No","https://api.mwater.co/v3/images/f899112a7a8548cfbf7ce201a772b19a","-14.5155276","Broken parts, Worn out parts","","","Area or Water Mechanic, Unofficial/ Bush Mechanic","22","2022-04-06 13:18:20","","No","35.1973613","Partially functional but in need of repair","","Yes"
"36490703","","Yes","https://api.mwater.co/v3/images/bfc03108841a4b0ca4e6f21becee4846","-14.524929900000002","","","Yes ","Area or Water Mechanic, Water Point Committee","65","2022-04-06 13:19:48","","No","35.21452609999999","Functional","Salinity or salty water","Yes"
"356147273","","Yes","https://api.mwater.co/v3/images/cf3bb5e8eede453a81287903f9224858","-14.518152500000001","","11, 12","","Community members, Area or Water Mechanic","25","2022-04-06 13:20:15","","Yes","35.20027290000001","Functional","Sediment presence","Yes"
"356147297","","No","https://api.mwater.co/v3/images/f74ec71569474c9b8765facf08502c06","-14.520902899999994","","10, 11","","Area or Water Mechanic, Community members","12","2022-04-06 13:20:44","","Yes","35.2011244","Functional","","Yes"
"356147280","","Yes","https://api.mwater.co/v3/images/8b85a9ead3944932b023b64332e2b943","-14.518930699999993","","","","Area or Water Mechanic","12","2022-04-06 13:21:24","","No","35.20144719999999","Functional","Turbidity or cloudy water ","Yes"
"351778773","","No","https://api.mwater.co/v3/images/e8709a7cc2e0495ea4ac96b5b0ee4cdd","-14.524770699999998","","","","Area or Water Mechanic","40","2022-04-06 13:23:00","","No","35.2151296","Functional","","Yes"
"351778797","","","https://api.mwater.co/v3/images/39163ded2326405eb46ffb43d04fc3ad","-14.5234602","Worn out parts","","","Area or Water Mechanic","","2022-04-06 13:30:28","","","35.2156845","Not functional","","Yes"
"36490662","","Yes","https://api.mwater.co/v3/images/3bf63fcdc2de42d1ae17c09543803dcf","-14.5250126","Worn out parts","10","Yes ","Area or Water Mechanic, Water Point Committee","35","2022-04-06 13:35:21","","Yes","35.21663929999999","Partially functional but in need of repair","Salinity or salty water","Yes"
"356171395","","No","https://api.mwater.co/v3/images/1c5336fa5fcf42e281e10919e845f844","-14.517874099999998","Broken parts, Worn out parts","","","Area or Water Mechanic","18","2022-04-06 13:36:39","","No","35.1994139","Partially functional but in need of repair","","Yes"
"356172475","","No","https://api.mwater.co/v3/images/c0ac899c8e7f41aebfb66a733cc7e75f","-14.5230445","","","Yes ","Area or Water Mechanic, Water Point Committee","17","2022-04-07 07:08:01","","No","35.2165161","Functional","","Yes"
"356176479","","No","https://api.mwater.co/v3/images/ec591536cab84d62952ec9e14cc623e4","-14.516725799999998","Worn out parts","","","Area or Water Mechanic","15","2022-04-07 07:45:41","","No","35.1977527","Partially functional but in need of repair","","Yes"
"360886791","","No","https://api.mwater.co/v3/images/b68fe471d0004ea0a95007d826fcf1ab","-14.516013099999999","Worn out parts","","","Area or Water Mechanic","6","2022-04-07 08:09:40","","No","35.19556969999999","Partially functional but in need of repair","","Yes"
"354811055","","","https://api.mwater.co/v3/images/805b940bfa4b4836b6ee5bcdbb42d28e","-14.4868233","Broken parts","","","Unofficial/ Bush Mechanic","","2022-04-07 08:32:22","","","35.182","Not functional","","Yes"
"93855086","","No","https://api.mwater.co/v3/images/85dd19e8cbba4673ace3ec2877b0ec0e","-14.486509999999997","Worn out parts","","","Area or Water Mechanic","15","2022-04-07 08:45:33","","No","35.18024499999999","Partially functional but in need of repair","","Yes"
"356147314","","No","https://api.mwater.co/v3/images/54654d907fe642b68b320e107d693926","-14.519520600000002","Broken parts, Worn out parts","","Yes ","Area or Water Mechanic, Water Point Committee","27","2022-04-07 08:46:31","","No","35.2003564","Partially functional but in need of repair","","Yes"
"351778876","","Yes","https://api.mwater.co/v3/images/82826bea96a84f9f904f025692530e18","-14.4678461","Broken parts","","Yes ","Area or Water Mechanic, Water Point Committee","40","2022-04-07 08:47:41","","No","35.1483461","Partially functional but in need of repair","Salinity or salty water","Yes"
"356172530","","No","https://api.mwater.co/v3/images/ff6db05ea7e5448aa41688b72e48da4a","-14.5215794","","","","Area or Water Mechanic","3","2022-04-07 08:50:37","","No","35.2157915","Functional","","Yes"
"356171474","","No","https://api.mwater.co/v3/images/f0fbfe895d4c4aa4a04fef800f66e693","-14.487163900000002","Worn out parts","","","Area or Water Mechanic","15","2022-04-07 08:57:48","","No","35.179798","Partially functional but in need of repair","","Yes"
"361150598","","No","https://api.mwater.co/v3/images/9f9470c0e5e74f288886764cc9a2f2c6","-14.520217599999999","Worn out parts","","","Area or Water Mechanic","3","2022-04-07 09:05:05","","No","35.200997","Partially functional but in need of repair","","Yes"
"354811062","","","https://api.mwater.co/v3/images/5a5d98ea6fb1417fbb8271b2eba9df50","-14.487801699999993","Broken parts","","","Unofficial/ Bush Mechanic","","2022-04-07 09:12:33","","","35.1789","Not functional","","Yes"
"355068542","","","https://api.mwater.co/v3/images/2a728fe425824390bf48628f578d5bb3","-14.5257785","Broken parts, Structural problems - Civil works, apron, etc, Worn out parts","","Yes ","Area or Water Mechanic, Water Point Committee","","2022-04-07 09:22:11","","","35.21514729999999","Not functional","","Yes"
"93854920","","Yes","https://api.mwater.co/v3/images/94ed273bc574444ea23bcee1c8c9fd1a","-14.469228400000002","","","","Area or Water Mechanic","20","2022-04-07 09:22:26","","No","35.15199549999999","Functional","Salinity or salty water","Yes"
"356171481","","Yes","https://api.mwater.co/v3/images/260d1040621b47d6b6d99cb5d80f4678","-14.487852299999998","","","","Area or Water Mechanic, Unofficial/ Bush Mechanic","10","2022-04-07 09:26:22","","No","35.1807393","Functional","Colour","Yes"
"356172547","","Yes","https://api.mwater.co/v3/images/d8f3d21f92d047beaa62d63a420bb272","-14.523394199999997","","","","Area or Water Mechanic","25","2022-04-07 09:31:05","","No","35.2152704","Functional","Salinity or salty water","Yes"
"11577188","","No","https://api.mwater.co/v3/images/cd17f3496ae645f29bd254532dccfb5b","-14.521631700000002","Worn out parts","","Yes ","Area or Water Mechanic, Water Point Committee","25","2022-04-07 09:31:16","","No","35.2001583","Partially functional but in need of repair","","Yes"
"354811079","","No","https://api.mwater.co/v3/images/2e218a4ea066429e9357ee280a12b5ca","-14.4889583","Worn out parts","10, 11","","Unofficial/ Bush Mechanic","12","2022-04-07 09:42:29","","Yes","35.18133499999999","Partially functional but in need of repair","","Yes"
"356147321","","No","https://api.mwater.co/v3/images/037fa10a91164620a35502ae2d95dcd2","-14.5218937","Low water flow - Low water pressure","","","Area or Water Mechanic","11","2022-04-07 09:47:33","","No","35.2003467","Partially functional but in need of repair","","Yes"
"6558468","","No","https://api.mwater.co/v3/images/9d85c5c952d149099ed866edbec7f15b","-14.468790399999998","Broken parts, Worn out parts","","Yes ","Water Point Committee","80","2022-04-07 09:54:33","","No","35.1560265","Partially functional but in need of repair","","Yes"
"23403356","","No","https://api.mwater.co/v3/images/78a33e33947b486ebcb2ad41ef1ba1f3","-14.487973599999998","Worn out parts","","","Local Government, Area or Water Mechanic","18","2022-04-07 09:56:04","","No","35.1818799","Partially functional but in need of repair","","Yes"
"361150608","","Yes","https://api.mwater.co/v3/images/968b2393e0ff4b04b65a0daa04e82a01","-14.522385","Worn out parts","","","Area or Water Mechanic","4","2022-04-07 09:56:13","","No","35.20048669999999","Partially functional but in need of repair","Sediment presence","Yes"
"356172592","","No","https://api.mwater.co/v3/images/80bbd82852b44f3aa5a15df27b4230bf","-14.525615299999998","Worn out parts","","","Area or Water Mechanic","12","2022-04-07 09:57:24","","No","35.2144524","Partially functional but in need of repair","","Yes"
"4688051","","Yes","https://api.mwater.co/v3/images/f033984f27af4cf6a992326f8ec706e4","-14.4696886","","","Yes ","Water Point Committee","50","2022-04-07 10:06:22","","No","35.1575443","Functional","Salinity or salty water","Yes"
"356172602","","No","https://api.mwater.co/v3/images/a7ef40b52d8f4dd6a90ccde117c60f62","-14.526295899999996","","","","Area or Water Mechanic","15","2022-04-07 10:08:11","","No","35.21404019999999","Functional","","Yes"
"354811086","","No","https://api.mwater.co/v3/images/2efafac11571407ebc66fc118cc2daf8","-14.486893299999997","Broken parts, Worn out parts","","","Unofficial/ Bush Mechanic","9","2022-04-07 10:10:21","","No","35.181264999999996","Partially functional but in need of repair","","Yes"
"356147338","","Yes","https://api.mwater.co/v3/images/d22151594f654c07a02248e66003da4f","-14.523982899999998","Worn out parts","","","Unofficial/ Bush Mechanic","7","2022-04-07 10:16:26","","No","35.20064609999999","Partially functional but in need of repair","Sediment presence","Yes"
"351778883","","No","https://api.mwater.co/v3/images/1ce5d435931243359956a1000e6e6629","-14.467655999999996","Worn out parts","","Yes ","Water Point Committee","150","2022-04-07 10:20:30","","No","35.1597915","Partially functional but in need of repair","","Yes"
"356171498","","No","https://api.mwater.co/v3/images/30dc1f9d3eeb4ec8a44c2be0c1cf077c","-14.490427600000002","Worn out parts","","","Unofficial/ Bush Mechanic","15","2022-04-07 10:31:43","","No","35.180335199999995","Partially functional but in need of repair","","Yes"
"361150615","","No","https://api.mwater.co/v3/images/412f9c6e098848fca125c36b1000bfbb","-14.523503299999996","Worn out parts, Broken parts, Structural problems - Civil works, apron, etc","","","Unofficial/ Bush Mechanic","7","2022-04-07 10:31:57","","No","35.19996669999999","Partially functional but in need of repair","","Yes"
"356187185","","","https://api.mwater.co/v3/images/a10919ed0e7e47e7b2c45ec9e1c89b64","-14.467831899999995","","","","","","2022-04-07 10:35:45","","","35.160467399999995","No longer exists or abandoned","","No"
"356171508","","No","https://api.mwater.co/v3/images/b4d582362f124ac08f4530d2e52a94ff","-14.490484499999994","Low yield","09, 10, 11","","","15","2022-04-07 10:58:23","","Yes","35.18217739999999","Partially functional but in need of repair","","Don't know"
"351778890","","No","https://api.mwater.co/v3/images/f06fd2797e4043f79acfd32ee7b36d09","-14.472174999999993","","","Yes ","Water Point Committee","30","2022-04-07 10:59:13","","No","35.1555267","Functional","","Yes"
"356147345","","No","https://api.mwater.co/v3/images/bb5e09e17d9e4d6a86d27ec4f7a5aa08","-14.520408299999998","Worn out parts","","","Unofficial/ Bush Mechanic","7","2022-04-07 11:12:43","","No","35.20321409999999","Partially functional but in need of repair","","Yes"
"354811093","","No","https://api.mwater.co/v3/images/fd9bdd55bbc748ed9ae67822037c6034","-14.4914167","Broken parts, Worn out parts","","","Unofficial/ Bush Mechanic","26","2022-04-07 11:15:10","","No","35.1806117","Partially functional but in need of repair","","Yes"
"47122004","","No","https://api.mwater.co/v3/images/4e1edef5a2734ba8af3277ca7dff1f56","-14.4901048","","","","Unofficial/ Bush Mechanic, Community members","20","2022-04-07 11:16:15","","No","35.1812534","Functional","","Yes"
"23223938","","No","https://api.mwater.co/v3/images/714fbf4ea8bf4f56bdb3639e20926763","-14.476288","","","","Area or Water Mechanic","25","2022-04-07 11:17:10","","No","35.1577827","Functional","","Yes"
"361150622","","Yes","https://api.mwater.co/v3/images/2e8b5939a5514fb181a67b84dc9e8906","-14.5213628","Worn out parts","","","Area or Water Mechanic","40","2022-04-07 11:30:34","","No","35.20401939999999","Partially functional but in need of repair","Turbidity or cloudy water ","Yes"
"23506235","","No","https://api.mwater.co/v3/images/b3b809b5de5245e2b8dc8d1dda2cc7d3","-14.4907233","Worn out parts, Broken parts","","","Owner / Private household","15","2022-04-07 11:41:56","","No","35.182985","Partially functional but in need of repair","","Yes"
"356171522","","No","https://api.mwater.co/v3/images/51878a56febf4c6f8099af998bf0b349","-14.489748199999994","","","","Institution","12","2022-04-07 11:53:49","","No","35.183152","Functional","","Yes"
"354811103","","No","https://api.mwater.co/v3/images/b963c7f370cc44a28076510dbe02b2fe","-14.489827399999996","Worn out parts","","","Institution, Unofficial/ Bush Mechanic","7","2022-04-07 12:09:51","","No","35.18256649999999","Partially functional but in need of repair","","Yes"
"361150646","","Yes","https://api.mwater.co/v3/images/7fd84b8ce59b495796312504e12e710b","-14.521870299999993","Worn out parts","","","Area or Water Mechanic","1","2022-04-07 12:18:01","","No","35.2060732","Partially functional but in need of repair","Sediment presence","Yes"
"356171515","","No","https://api.mwater.co/v3/images/119ba9b978134be793dea8429f7bd301","-14.4913136","Broken parts, Worn out parts","","","Unofficial/ Bush Mechanic","15","2022-04-07 12:23:57","","No","35.1826045","Partially functional but in need of repair","","Yes"
"355068638","","No","https://api.mwater.co/v3/images/49669b7bf9654935b174607fa740d8cd","-14.527079899999995","","","","Area or Water Mechanic","10","2022-04-07 12:24:11","","No","35.2090379","Functional","","Yes"
"356147352","","Yes","https://api.mwater.co/v3/images/4c507104e3aa425786849d841f2b0401","-14.5216124","Worn out parts","10, 11","","Area or Water Mechanic","20","2022-04-07 12:33:07","","Yes","35.205534","Partially functional but in need of repair","Sediment presence","Yes"
"361150653","","No","https://api.mwater.co/v3/images/dad635bdd5704c22bfb7435df3b423ad","-14.522936699999997","","","","Area or Water Mechanic","18","2022-04-07 12:35:17","","No","35.20591999999999","Functional","","Yes"
"356171539","","No","https://api.mwater.co/v3/images/37f8f35c43ca449ba5b5607818d6259f","-14.4899869","Worn out parts","","","Unofficial/ Bush Mechanic","11","2022-04-07 12:35:44","","No","35.1839635","Partially functional but in need of repair","","Yes"
"22635392","","No","https://api.mwater.co/v3/images/957293e67b77465d852b172646a47ef1","-14.5237276","","08","","Community members","59","2022-04-07 12:38:15","","Yes","35.2132064","Functional","","Yes"
"23616534","","","https://api.mwater.co/v3/images/597d1dc73f1c48c1ad0820c3aab16a04","-14.4900061","Broken parts","","","Unofficial/ Bush Mechanic","","2022-04-07 12:50:30","","","35.18478449999999","Not functional","","Yes"
"356172664","","No","https://api.mwater.co/v3/images/158d180fbf9a4d469393c8f54cac6212","-14.524633499999998","Low water flow - Low water pressure","","","Area or Water Mechanic","12","2022-04-07 12:54:12","","No","35.213246","Partially functional but in need of repair","","Yes"
"356172640","","No","https://api.mwater.co/v3/images/284e698fc855467194db898c28328b0a","-14.527412299999998","","","","Area or Water Mechanic","10","2022-04-07 12:57:07","","No","35.2132429","Functional","","Yes"
"356171546","","No","https://api.mwater.co/v3/images/607387575f7441259148d56778e3425b","-14.489356099999995","","","Yes ","Water Point Committee","30","2022-04-07 13:05:55","","No","35.1854882","Functional","","Yes"
"24536464","","No","https://api.mwater.co/v3/images/8a5e7d07f37943b6bb380c2a04cda659","-14.488529999999997","Broken parts, Worn out parts","","","Area or Water Mechanic","15","2022-04-07 13:13:19","","No","35.1847217","Partially functional but in need of repair","","Yes"
"355641659","","Yes","https://api.mwater.co/v3/images/d64bd3e6417c44208638fe08455cab48","-14.521896499999995","","","","Area or Water Mechanic","4","2022-04-07 13:17:29","","No","35.216391300000005","Functional","Salinity or salty water","Yes"
"355641697","","No","https://api.mwater.co/v3/images/9b81b45b51b64659a8750b34882e99d5","-14.520884199999996","","","","Institution","15","2022-04-07 13:24:03","","No","35.2166901","Functional","","Yes"
"23374580","","No","https://api.mwater.co/v3/images/d11dc27fd52a4dbc892047d048651024","-14.487441699999998","Worn out parts, Low water flow - Low water pressure","","","Area or Water Mechanic","12","2022-04-07 13:32:05","","No","35.183043299999994","Partially functional but in need of repair","","Yes"
"356171436","","","https://api.mwater.co/v3/images/b8fc92c5e5eb4e3c92c2ade77217e67d","-14.515742499999998","Other (please specify)","","","Area or Water Mechanic, Unofficial/ Bush Mechanic","","2022-04-07 13:36:16","There is no water discharge","","35.1962997","Not functional","","Yes"
"356172671","","Yes","https://api.mwater.co/v3/images/828224abf3eb4cdcb2e711033b980bd3","-14.522772500000002","Worn out parts","","","Area or Water Mechanic","6","2022-04-07 13:45:15","","No","35.2170241","Partially functional but in need of repair","Salinity or salty water","Yes"
"355641532","","Yes","https://api.mwater.co/v3/images/fb583cb7b92c401e9adaf218b901b56d","-14.5254137","","","","Area or Water Mechanic","25","2022-04-07 13:57:58","","No","35.2156881","Functional","Salinity or salty water","Yes"
"36490648","","No","https://api.mwater.co/v3/images/3c65585606784b138c0b776b84dd59c0","-14.523154","Broken parts","","","Area or Water Mechanic","22","2022-04-07 14:04:29","","No","35.2176825","Partially functional but in need of repair","","Yes"
"354138945","","No","https://api.mwater.co/v3/images/629849a975ca4a8ebe696ef8281dc08e","-14.5238906","","","","Area or Water Mechanic","16","2022-04-07 14:33:30","","No","35.2172286","Functional","","Yes"
"360886856","","No","https://api.mwater.co/v3/images/5b98069caf5a48d9bb2413ad8e607375","-14.515183000000002","Broken parts, Worn out parts","","","Area or Water Mechanic","6","2022-04-08 06:02:04","","No","35.195043","Partially functional but in need of repair","","Yes"
"356172688","","No","https://api.mwater.co/v3/images/02433f0b284c4c39828772fc1ef1b772","-14.522195","","","","Area or Water Mechanic","12","2022-04-08 06:23:31","","No","35.2183247","Functional","","Yes"
"30800108","","No","https://api.mwater.co/v3/images/205f6de64fd74d6a8d998b74f539e440","-14.5146737","Structural problems - Civil works, apron, etc","","","Area or Water Mechanic, Unofficial/ Bush Mechanic","17","2022-04-08 06:24:03","","No","35.19432719999999","Partially functional but in need of repair","","Yes"
"361870957","","No","https://api.mwater.co/v3/images/e4d90f73635b432a92827137bc42c202","-14.5153642","","","","Area or Water Mechanic, Unofficial/ Bush Mechanic","17","2022-04-08 06:46:51","","No","35.19383609999999","Functional","","Yes"
"361870964","","No","https://api.mwater.co/v3/images/39c62bbe5d774f35b0214b1069086b62","-14.5156546","Worn out parts","","","Area or Water Mechanic, Unofficial/ Bush Mechanic","6","2022-04-08 06:57:37","","No","35.1931829","Partially functional but in need of repair","","Yes"
"36496338","","No","https://api.mwater.co/v3/images/8e02e7f3de0d4ddf919037ebbe5c8b3b","-14.460684999999996","Worn out parts","","Yes ","Area or Water Mechanic, Water Point Committee","60","2022-04-08 06:59:08","","No","35.14818999999999","Partially functional but in need of repair","","Yes"
"356172705","","","https://api.mwater.co/v3/images/34fc12952d77416fa4353ca14be71f85","-14.521832300000002","Worn out parts","","Yes ","Area or Water Mechanic, Water Point Committee","","2022-04-08 07:04:41","","","35.21884769999999","Not functional","","Yes"
"361150660","","No","https://api.mwater.co/v3/images/b27cf3f8bff94bfd99a2c3339a8ca796","-14.514933299999996","","","Yes ","Water Point Committee","20","2022-04-08 07:09:19","","No","35.19314169999999","Functional","","Yes"
"93854016","","No","https://api.mwater.co/v3/images/04d2c5eee4884a0eac9c30450c73298d","-14.520846000000002","","","Yes ","Area or Water Mechanic, Water Point Committee","110","2022-04-08 07:12:12","","No","35.2198638","Functional","","Yes"
"361870971","","No","https://api.mwater.co/v3/images/51b4f149319142379515336c9d2f968d","-14.514177699999998","Worn out parts","","","Unofficial/ Bush Mechanic","13","2022-04-08 07:20:31","","No","35.1931064","Partially functional but in need of repair","","Yes"
"361150677","","No","https://api.mwater.co/v3/images/c4fc19224da441899100cbf8a07e0d05","-14.5136817","Broken parts, Worn out parts","","","Area or Water Mechanic","10","2022-04-08 07:31:37","","No","35.193845","Partially functional but in need of repair","","Yes"
"356172712","","Yes","https://api.mwater.co/v3/images/a23a4c9a5cbb4521bcfc1a9e5401c228","-14.5221299","Worn out parts","","Yes ","Unofficial/ Bush Mechanic, Water Point Committee","65","2022-04-08 07:34:37","","No","35.2208788","Partially functional but in need of repair","Salinity or salty water","Yes"
"5555835","","No","https://api.mwater.co/v3/images/6b9cadf43f0942698d39df9733e8da87","-14.511957599999997","Structural problems - Civil works, apron, etc","","","Area or Water Mechanic","25","2022-04-08 07:44:02","","No","35.1934781","Partially functional but in need of repair","","Yes"
"22635055","","Yes","https://api.mwater.co/v3/images/4ca35007b5194575a6848647f4816ff6","-14.521293900000002","Low water flow - Low water pressure, Worn out parts","09, 10, 11","Yes ","Area or Water Mechanic, Water Point Committee","100","2022-04-08 07:53:01","","Yes","35.2193626","Partially functional but in need of repair","Salinity or salty water","Yes"
"351778900","","","https://api.mwater.co/v3/images/5537b72dfc0f4a8eb419d60f683ad3fe","-14.4555754","Broken parts","","Yes ","Area or Water Mechanic, Water Point Committee","","2022-04-08 07:55:46","","","35.1511757","Not functional","","Yes"
"4675587","","No","https://api.mwater.co/v3/images/7d92a26bb1b64d38b632679b9a18e6cc","-14.4528665","","","","Area or Water Mechanic","30","2022-04-08 08:01:13","","No","35.144246499999994","Functional","","Yes"
"361150691","","No","https://api.mwater.co/v3/images/d640bb551916492495d6e1b943293d65","-14.5095788","","","","Area or Water Mechanic","13","2022-04-08 08:06:40","","No","35.192929","Functional","","Yes"
"36496345","","No","https://api.mwater.co/v3/images/735649d9343843aa80e0ba01e6f1c928","-14.4564272","","","","Area or Water Mechanic","150","2022-04-08 08:19:40","","No","35.1423779","Functional","","Yes"
"356171553","","No","https://api.mwater.co/v3/images/1fee0894e5524d11b0fdaed67646c8b2","-14.4878622","","","","Community members","10","2022-04-08 08:20:06","","No","35.18264070000001","Functional","","Yes"
"361870988","","No","https://api.mwater.co/v3/images/68213f521a134f898f0f752737da4452","-14.5106465","Worn out parts, Structural problems - Civil works, apron, etc","","","Area or Water Mechanic","19","2022-04-08 08:24:17","","No","35.1930225","Partially functional but in need of repair","","Yes"
"356187202","","No","https://api.mwater.co/v3/images/10c167d52da44730a744a78c2e61e09f","-14.456858800000003","","","","Area or Water Mechanic","42","2022-04-08 08:33:02","","No","35.1409123","Functional","","Yes"
"361150701","","No","https://api.mwater.co/v3/images/32838fd828a64641bdbab5f2b1ff23e0","-14.510336699999998","","","","Unofficial/ Bush Mechanic","8","2022-04-08 08:36:47","","No","35.1940383","Functional","","Yes"
"47122688","","No","https://api.mwater.co/v3/images/4755a755af1a467fa947b595e03e8a84","-14.4567892","Worn out parts","","Yes ","Water Point Committee","50","2022-04-08 08:48:52","","No","35.13864459999999","Partially functional but in need of repair","","Yes"
